record_id,relation,carrier,obs081_repair_recommendation,obs082_repair_specificity,primary_failure_locus,failure_localization_score,localization_evidence_basis,repair_specificity_level,repair_specificity_score,sharpened_repair_annotation,required_missing_evidence,candidate_metric,candidate_metric_available,matched_negative_control_required,matched_negative_control_available_for_repair,hypothesis_ready_flag,why_not_hypothesis_ready,evidence_basis,interpretation
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,record as weak redundant carrier; do not promote as primary support; link to localized failure rows; carrier has evidence but lower-tail or projection sensitivity remains; 0.5; general_repair_recommendation; C_vs_Cp3__geometry_scores_only; C_vs_Cp3; geometry_sharpening_carrier; weak_redundant_carrier; C-separating contrast is stable under compact core,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation C_vs_Cp3 through carrier geometry_scores_only, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,record as weak redundant carrier; do not promote as primary support; link to localized failure rows; carrier has evidence but lower-tail or projection sensitivity remains; 0.5; general_repair_recommendation; C_vs_Cp3__path_shares_only; C_vs_Cp3; path_support_carrier; weak_redundant_carrier; C-separating contrast is stable under compact core,0.5,relation_local,0.35,contrast_proxy_only,R3,0.55,"For relation C_vs_Cp3 through carrier path_shares_only, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; Cp2_vs_Cp3__geometry_scores_only; Cp2_vs_Cp3; geometry_sharpening_carrier; redundant_reusable_invariant; Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation Cp2_vs_Cp3 through carrier geometry_scores_only, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; Cp2_vs_Cp3__no_window; Cp2_vs_Cp3; non_window_redundant_carrier; redundant_reusable_invariant; Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation Cp2_vs_Cp3 through carrier no_window, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; Cp2_vs_Cp3__path_shares_only; Cp2_vs_Cp3; path_support_carrier; redundant_reusable_invariant; Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,0.5,relation_local,0.35,contrast_proxy_only,R3,0.55,"For relation Cp2_vs_Cp3 through carrier path_shares_only, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; Cp2_vs_Cp3__stability_plus_geometry; Cp2_vs_Cp3; enriched_geometry_carrier; redundant_reusable_invariant; Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation Cp2_vs_Cp3 through carrier stability_plus_geometry, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; Cp2_vs_Cp3__strict_numeric_all; Cp2_vs_Cp3; strict_numeric_reference_carrier; redundant_reusable_invariant; Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation Cp2_vs_Cp3 through carrier strict_numeric_all, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,preserve compact core; add geometry-support annotation; add scale-position sensitivity note; Cp2_vs_Cp3 survives under core but geometry contracts sharpen it substantially; 0.5; general_repair_recommendation; Cp2_vs_Cp3__stability_core_3; Cp2_vs_Cp3; compact_core_carrier; context_sensitive_reusable_invariant; Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation Cp2_vs_Cp3 through carrier stability_core_3, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
three_way__geometry_scores_only,three_way,geometry_scores_only,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; three_way__geometry_scores_only; three_way; geometry_sharpening_carrier; redundant_reusable_invariant; three-way compact core is reusable but structurally more sensitive than C-separating contrasts,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation three_way through carrier geometry_scores_only, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
three_way__no_window,three_way,no_window,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; three_way__no_window; three_way; non_window_redundant_carrier; redundant_reusable_invariant; three-way compact core is reusable but structurally more sensitive than C-separating contrasts,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation three_way through carrier no_window, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; three_way__stability_plus_geometry; three_way; enriched_geometry_carrier; redundant_reusable_invariant; three-way compact core is reusable but structurally more sensitive than C-separating contrasts,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation three_way through carrier stability_plus_geometry, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
three_way__strict_numeric_all,three_way,strict_numeric_all,record as redundant carrier; link to compact stability core; carrier preserves or sharpens relation outside the compact core; 0.5; general_repair_recommendation; three_way__strict_numeric_all; three_way; strict_numeric_reference_carrier; redundant_reusable_invariant; three-way compact core is reusable but structurally more sensitive than C-separating contrasts,0.5,carrier_local,0.35,contrast_proxy_only,R3,0.55,"For relation three_way through carrier strict_numeric_all, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
three_way__path_shares_only,three_way,path_shares_only,record as weak redundant carrier; do not promote as primary support; link to localized failure rows; carrier has evidence but lower-tail or projection sensitivity remains; 0.5; general_repair_recommendation; three_way__path_shares_only; three_way; path_support_carrier; weak_redundant_carrier; three-way compact core is reusable but structurally more sensitive than C-separating contrasts,0.5,relation_local,0.35,contrast_proxy_only,R3,0.55,"For relation three_way through carrier path_shares_only, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
three_way__stability_core_3,three_way,stability_core_3,preserve compact core; prefer enriched geometry for high precision; annotate structural sensitivity; three-way compact core survives but enriched geometry improves precision; 0.5; general_repair_recommendation; three_way__stability_core_3; three_way; compact_core_carrier; context_sensitive_reusable_invariant; three-way compact core is reusable but structurally more sensitive than C-separating contrasts,0.5,relation_local,0.35,contrast_proxy_only,R3,0.55,"For relation three_way through carrier stability_core_3, repair language can be made relation+carrier-specific, but localization evidence is contrast_proxy_only; no repair target is claimed.",direct localized failure site; predeclared metric; matched control,missing_specific_metric,False,missing_matched_control,False,False,OBS-083 does not perform interventions and does not promote records to actionability; repair specificity only R3: relation and carrier are known from registry; direct locus/metric/control insufficient,obs081_annotation;localization=contrast_proxy_only;metric=missing;repair_control=missing,Repair annotation sharpened diagnostically only; no repair or intervention claim is made.
