record_id,relation,carrier,obs082_failure_localization,obs082_diffuse_prior_flag,relation_local_score,carrier_local_score,contract_local_score,transform_local_score,scale_band_local_score,feature_family_local_score,structural_resampling_local_score,geometry_needed_local_score,cohort_local_score,transition_local_score,diffuse_score,primary_failure_locus,secondary_failure_locus,localization_confidence,failure_localization_score,localization_limiter,localization_evidence_basis,explicit_failure_locus_source,interpretation
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0063414945018873; untyped_failure_row_evidence_fallback,True,0.35,0.35,,,,,,0.35,,0.35,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0; untyped_failure_row_evidence_fallback,True,0.001014309756436349,0.35,,,,,,0.35,,0.001014309756436349,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.5528304876600938; untyped_failure_row_evidence_fallback,True,0.35,0.35,,,,,,0.35,,0.35,0.65,relation_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: relation_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0292623483116187; untyped_failure_row_evidence_fallback,True,0.18864128325083662,0.35,,,,,,0.35,,0.18864128325083662,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0; untyped_failure_row_evidence_fallback,True,0.0012007537964675574,0.35,,,,,,0.35,,0.0012007537964675574,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 2.6346183130683585; untyped_failure_row_evidence_fallback,True,0.35,0.35,,,,,,0.35,,0.35,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
three_way__geometry_scores_only,three_way,geometry_scores_only,three-way compact core is reusable but structurally more sensitive than C-separating contrasts; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.5078254633107591; untyped_failure_row_evidence_fallback,True,0.35,0.35,,,,,,0.35,,0.35,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
three_way__no_window,three_way,no_window,three-way compact core is reusable but structurally more sensitive than C-separating contrasts; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0007100168295055; untyped_failure_row_evidence_fallback,True,0.001014309756436349,0.35,,,,,,0.35,,0.001014309756436349,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
three_way__stability_plus_geometry,three_way,stability_plus_geometry,three-way compact core is reusable but structurally more sensitive than C-separating contrasts; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.1613112465872044; untyped_failure_row_evidence_fallback,True,0.18864128325083662,0.35,,,,,,0.35,,0.18864128325083662,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
three_way__strict_numeric_all,three_way,strict_numeric_all,three-way compact core is reusable but structurally more sensitive than C-separating contrasts; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 0.0008405276575276; untyped_failure_row_evidence_fallback,True,0.0012007537964675574,0.35,,,,,,0.35,,0.0012007537964675574,0.65,carrier_local,geometry_needed_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: carrier_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
three_way__path_shares_only,three_way,path_shares_only,three-way compact core is reusable but structurally more sensitive than C-separating contrasts; diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast; 0.35; 1.2638322518122005; object_support_sensitivity; distinct_failure_type_concentration_more_than_3_types,True,0.35,0.35,,,,,,0.35,,0.35,0.65,relation_local,carrier_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: relation_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
three_way__stability_core_3,three_way,stability_core_3,three-way compact core is reusable but structurally more sensitive than C-separating contrasts; generic_repair_specificity;weak_negative_control_contrast; 0.6; 2.915027760847156; object_support_sensitivity; distinct_failure_type_concentration_2_to_3_types,True,0.35,0.35,,,,,,0.35,,0.35,0.65,relation_local,carrier_local,weak,0.35,contrast_proxy_only_not_direct_localization,contrast_proxy_only,none,"Localization remains weak: relation_local is derived from contrast_proxy_only, so it is a next-test pointer, not a localized failure claim."
