relation_id,task,carrier,carrier_role,rig_status,repair_recommendation,repair_rationale,failure_notes
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,weak_redundant_carrier,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,C-separating contrast is stable under compact core
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,weak_redundant_carrier,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,C-separating contrast is stable under compact core
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,enriched_geometry_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,C-separating contrast is stable under compact core
C_vs_Cp3__no_window,C_vs_Cp3,no_window,non_window_redundant_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,C-separating contrast is stable under compact core
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,strict_numeric_reference_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,C-separating contrast is stable under compact core
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,context_sensitive_reusable_invariant,preserve compact core; add geometry-support annotation; add scale-position sensitivity note,Cp2_vs_Cp3 survives under core but geometry contracts sharpen it substantially,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,path_support_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,enriched_geometry_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,non_window_redundant_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,strict_numeric_reference_carrier,redundant_reusable_invariant,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3
