relation_id,task,carrier,carrier_role,carrier_role_detail,rig_status,rig_status_rank,threshold,baseline,obs080c_carrier_ba,obs080d_carrier_mean_ba,obs080d_carrier_min_ci95_low,obs080d_carrier_min_p_above_threshold,task_geometry_needed_level,task_geometry_needed_label,task_geometry_needed_rationale,failure_notes,repair_recommendation,repair_rationale,n_survival_rows,mean_survival_score,min_survival_score,numeric_transform_n,numeric_transform_mean_score,numeric_transform_min_score,numeric_transform_status,scale_band_n,scale_band_mean_score,scale_band_min_score,scale_band_status,feature_family_n,feature_family_mean_score,feature_family_min_score,feature_family_status,structural_resampling_n,structural_resampling_mean_score,structural_resampling_min_score,structural_resampling_status,level_1_stability_core_ba,level_3_geometry_ba,level_4_paths_ba,level_3_stability_plus_geometry_ba,level_5_no_window_ba,level_5_strict_numeric_ba,obs080d_core_mean_ba,obs080d_core_min_ci95_low,obs080d_core_min_p_above_threshold
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,geometry carrier that preserves or sharpens relation,weak_redundant_carrier,4,0.9,0.5,0.9625,0.9456003308059068,0.8536585365853658,0.744,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,7,0.9480145692622058,0.9178896888842532,0,,,missing,0,,,missing,1,0.9625,0.9625,pass,6,0.9456003308059068,0.9178896888842532,mixed,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556,0.9843549474859227,0.945945945945946,1.0
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structurally supported path carrier with feature-family lower-tail sensitivity,weak_redundant_carrier,4,0.9,0.5,0.8794534763057765,0.915184561121935,0.8037462780577187,0.544,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,C-separating contrast is stable under compact core,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,7,0.9100801204339124,0.8794534763057765,0,,,missing,0,,,missing,1,0.8794534763057765,0.8794534763057765,borderline,6,0.915184561121935,0.910186306673459,mixed,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556,0.9843549474859227,0.945945945945946,1.0
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,geometry carrier that preserves or sharpens relation,redundant_reusable_invariant,5,0.75,0.5,1.0,0.999094072214016,0.9716981132075472,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling geometry scores sharpen relation; stability+geometry sharpens relation; non-window contracts carry stronger redundant support; strict numeric geometry carries stronger redundant support,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9992234904691566,0.998394667260556,0,,,missing,0,,,missing,1,1.0,1.0,pass,6,0.999094072214016,0.998394667260556,pass,0.8916666666666666,1.0,0.915819209039548,1.0,0.9665254237288136,0.9665254237288136,0.8854513776926801,0.7785840932117528,0.988
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,non_window_redundant_carrier,non-window redundant carrier,redundant_reusable_invariant,5,0.75,0.5,0.9665254237288136,1.0,1.0,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling geometry scores sharpen relation; stability+geometry sharpens relation; non-window contracts carry stronger redundant support; strict numeric geometry carries stronger redundant support,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9952179176755448,0.9665254237288136,0,,,missing,0,,,missing,1,0.9665254237288136,0.9665254237288136,pass,6,1.0,1.0,pass,0.8916666666666666,1.0,0.915819209039548,1.0,0.9665254237288136,0.9665254237288136,0.8854513776926801,0.7785840932117528,0.988
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,path_support_carrier,path/cohort support carrier,redundant_reusable_invariant,5,0.75,0.5,0.915819209039548,0.9210242160485579,0.832471264367816,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling geometry scores sharpen relation; stability+geometry sharpens relation; non-window contracts carry stronger redundant support; strict numeric geometry carries stronger redundant support,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9202806436186994,0.911772674233802,0,,,missing,0,,,missing,1,0.915819209039548,0.915819209039548,pass,6,0.9210242160485579,0.911772674233802,pass,0.8916666666666666,1.0,0.915819209039548,1.0,0.9665254237288136,0.9665254237288136,0.8854513776926801,0.7785840932117528,0.988
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,enriched_geometry_carrier,enriched stability-geometry carrier,redundant_reusable_invariant,5,0.75,0.5,1.0,0.9958196645269117,0.9674294404644268,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling geometry scores sharpen relation; stability+geometry sharpens relation; non-window contracts carry stronger redundant support; strict numeric geometry carries stronger redundant support,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9964168553087814,0.992833151981402,0,,,missing,0,,,missing,1,1.0,1.0,pass,6,0.9958196645269117,0.992833151981402,pass,0.8916666666666666,1.0,0.915819209039548,1.0,0.9665254237288136,0.9665254237288136,0.8854513776926801,0.7785840932117528,0.988
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,strict_numeric_reference_carrier,strict numeric reference carrier,redundant_reusable_invariant,5,0.75,0.5,0.9665254237288136,1.0,1.0,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling geometry scores sharpen relation; stability+geometry sharpens relation; non-window contracts carry stronger redundant support; strict numeric geometry carries stronger redundant support,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9952179176755448,0.9665254237288136,0,,,missing,0,,,missing,1,0.9665254237288136,0.9665254237288136,pass,6,1.0,1.0,pass,0.8916666666666666,1.0,0.915819209039548,1.0,0.9665254237288136,0.9665254237288136,0.8854513776926801,0.7785840932117528,0.988
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,compact carrier with contextual sensitivity,context_sensitive_reusable_invariant,3,0.75,0.5,0.8916666666666666,0.8854513776926801,0.7785840932117528,0.988,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling geometry scores sharpen relation; stability+geometry sharpens relation; non-window contracts carry stronger redundant support; strict numeric geometry carries stronger redundant support,Cp2_vs_Cp3 remains the sensitive diagnostic pair geometry carrier sharply improves Cp2_vs_Cp3,preserve compact core; add geometry-support annotation; add scale-position sensitivity note,Cp2_vs_Cp3 survives under core but geometry contracts sharpen it substantially,23,0.8989824850019549,0.8333333333333334,7,0.895238095238095,0.8916666666666666,pass,9,0.9117283950617284,0.8333333333333334,pass,1,0.8916666666666666,0.8916666666666666,pass,6,0.8854513776926801,0.8792107647701329,pass,0.8916666666666666,1.0,0.915819209039548,1.0,0.9665254237288136,0.9665254237288136,0.8854513776926801,0.7785840932117528,0.988
three_way__geometry_scores_only,three_way,geometry_scores_only,geometry_sharpening_carrier,geometry carrier that preserves or sharpens relation,redundant_reusable_invariant,5,0.8,0.3333333333333333,0.907716049382716,0.9274535052413202,0.8449144053148862,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,three-way compact core is reusable but structurally more sensitive than C-separating contrasts,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9246338686900911,0.9000478108548805,0,,,missing,0,,,missing,1,0.907716049382716,0.907716049382716,pass,6,0.9274535052413202,0.9000478108548805,pass,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896,0.8732596625718628,0.7580168253153008,0.936
three_way__no_window,three_way,no_window,non_window_redundant_carrier,non-window redundant carrier,redundant_reusable_invariant,5,0.8,0.3333333333333333,0.8891975308641976,0.9998985690243565,0.9931972789115648,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,three-way compact core is reusable but structurally more sensitive than C-separating contrasts,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.9840841350014767,0.8891975308641976,0,,,missing,0,,,missing,1,0.8891975308641976,0.8891975308641976,pass,6,0.9998985690243565,0.9996690494677082,pass,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896,0.8732596625718628,0.7580168253153008,0.936
three_way__stability_plus_geometry,three_way,stability_plus_geometry,enriched_geometry_carrier,enriched stability-geometry carrier,redundant_reusable_invariant,5,0.8,0.3333333333333333,0.9727891156462584,0.9769555362018281,0.9343027376838252,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,three-way compact core is reusable but structurally more sensitive than C-separating contrasts,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.976360333265318,0.9723457599757308,0,,,missing,0,,,missing,1,0.9727891156462584,0.9727891156462584,pass,6,0.9769555362018281,0.9723457599757308,pass,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896,0.8732596625718628,0.7580168253153008,0.936
three_way__strict_numeric_all,three_way,strict_numeric_all,strict_numeric_reference_carrier,strict numeric reference carrier,redundant_reusable_invariant,5,0.8,0.3333333333333333,0.9627368461508896,0.9998799246203532,0.9929779846335696,1.0,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,three-way compact core is reusable but structurally more sensitive than C-separating contrasts,record as redundant carrier; link to compact stability core,carrier preserves or sharpens relation outside the compact core,7,0.994573770553287,0.9627368461508896,0,,,missing,0,,,missing,1,0.9627368461508896,0.9627368461508896,pass,6,0.9998799246203532,0.999599890751103,pass,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896,0.8732596625718628,0.7580168253153008,0.936
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structurally supported path carrier with feature-family lower-tail sensitivity,weak_redundant_carrier,4,0.8,0.3333333333333333,0.7964646464646465,0.8194525354554,0.7085375304771857,0.522,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,three-way compact core is reusable but structurally more sensitive than C-separating contrasts,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,carrier has evidence but lower-tail or projection sensitivity remains,7,0.8161685513138638,0.7964646464646465,0,,,missing,0,,,missing,1,0.7964646464646465,0.7964646464646465,borderline,6,0.8194525354554,0.8145099879202286,mixed,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896,0.8732596625718628,0.7580168253153008,0.936
three_way__stability_core_3,three_way,stability_core_3,compact_core_carrier,compact carrier with contextual sensitivity,context_sensitive_reusable_invariant,3,0.8,0.3333333333333333,0.9161616161616164,0.8732596625718628,0.7580168253153008,0.936,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,three-way compact core is reusable but structurally more sensitive than C-separating contrasts,preserve compact core; prefer enriched geometry for high precision; annotate structural sensitivity,three-way compact core survives but enriched geometry improves precision,23,0.9015369175360936,0.8375350140056023,7,0.9106060606060604,0.8994949494949495,pass,9,0.9117096763883258,0.8375350140056023,pass,1,0.9161616161616164,0.9161616161616164,pass,6,0.8732596625718628,0.8698451062134624,mixed,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896,0.8732596625718628,0.7580168253153008,0.936
