qualification_address_id,qualification_selection_rank,address_id,record_id,relation,carrier,support_id,support_definition,support_query_json,failure_predicate,entitlement_status,support_family_label,support_prevalence,selection_reason,sealed_obs084b_candidate
QA-2e9151d1d8cae5ad4840c79c,5,3c58f494c94b8761a568ded4,Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,3e971f0bc08c8189f389,route_or_path:dominant_family=mixed,"[{""column"": ""dominant_family"", ""operator"": ""eq"", ""support_family"": ""route_or_path"", ""value"": ""mixed""}]",log_loss_attenuation,fl3_entitled,route_or_path,0.2727272727272727,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-0786fefcba8319e734b0588e,6,6474bf84525b5f8901e9c847,Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,4a8778b37c9e858c2b55,transition:transition=4→5,"[{""column"": ""transition"", ""operator"": ""eq"", ""support_family"": ""transition"", ""value"": ""4\u21925""}]",log_loss_attenuation,fl3_entitled,transition,0.36363636363636365,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-12c5e82520493089f5e73c4d,1,9a1b8537bb0aac4dd2f70530,C_vs_Cp2__no_window,C_vs_Cp2,no_window,114bd7932e0008f8ef79,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",local_criterion_breach,fl3_entitlement_capped,scale_band|seam_relative,0.25,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",True
QA-ce7b00e261e1eba440156b7c,2,63063743372cd08e7e4c4ed8,three_way__stability_core_3,three_way,stability_core_3,fb44ab2a8abcc889e6ac,cohort:cohort=persisted,"[{""column"": ""cohort"", ""operator"": ""eq"", ""support_family"": ""cohort"", ""value"": ""persisted""}]",local_criterion_breach,fl3_entitled,cohort,0.17777777777777778,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-ac64020228b6e68c672de7af,3,2089c8ead568c49eba0d317f,Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,21022befbb0e1aab2a07,seam_relative:seam_relative_region=intermediate,"[{""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""intermediate""}]",local_criterion_breach,fl3_entitlement_capped,seam_relative,0.36363636363636365,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-34bf064ac0e1ec0ef99edceb,4,2f394559fbe5789c99da9eda,C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,8eb760d133ac749e3327,scale_band:scale_band=early,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}]",local_criterion_breach,fl3_entitled,scale_band,0.4444444444444444,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-99d6b03759d66965dc60a5d4,5,cba4ba2ba78612dd885992ab,C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,8d0858b65a564a46e221,seam_relative:seam_relative_region=far AND route_or_path:dominant_family=shape,"[{""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""far""}, {""column"": ""dominant_family"", ""operator"": ""eq"", ""support_family"": ""route_or_path"", ""value"": ""shape""}]",local_criterion_breach,fl3_entitlement_capped,seam_relative|route_or_path,0.4,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-f18539553df2b338f0cc844d,6,a24a4754e3d139d456235b65,Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,4a8778b37c9e858c2b55,transition:transition=4→5,"[{""column"": ""transition"", ""operator"": ""eq"", ""support_family"": ""transition"", ""value"": ""4\u21925""}]",local_criterion_breach,fl3_entitled,transition,0.36363636363636365,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-571c325637ff2817f16587c7,1,bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,c683c10822cc59ae7587,seam_relative:seam_relative_region=far,"[{""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""far""}]",measurement_missingness_concentration,fl3_entitled,seam_relative,0.45,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-df0fbf84b968dac252f8c1a7,2,1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,0262d70dda595cb6cda6,scale_band:scale_band=early AND seam_relative:seam_relative_region=intermediate,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""intermediate""}]",measurement_missingness_concentration,fl3_entitlement_capped,scale_band|seam_relative,0.18181818181818182,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-eff8ca64d241da988a9d2648,3,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,28ecf7e42b861405b6b3,cohort:cohort=union,"[{""column"": ""cohort"", ""operator"": ""eq"", ""support_family"": ""cohort"", ""value"": ""union""}]",measurement_missingness_concentration,fl3_entitled,cohort,0.18518518518518517,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-4b17f3bd55e946141e31c7b7,4,1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,3e971f0bc08c8189f389,route_or_path:dominant_family=mixed,"[{""column"": ""dominant_family"", ""operator"": ""eq"", ""support_family"": ""route_or_path"", ""value"": ""mixed""}]",measurement_missingness_concentration,fl3_entitled,route_or_path,0.2727272727272727,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-a3f1432a1c030e2c454fa50a,5,03ef63db7584762143dc3914,three_way__no_window,three_way,no_window,114bd7932e0008f8ef79,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",measurement_missingness_concentration,fl3_entitlement_capped,scale_band|seam_relative,0.23333333333333334,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
QA-fa11b90e379b36fc53154230,6,d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,8eb760d133ac749e3327,scale_band:scale_band=early,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}]",measurement_missingness_concentration,fl3_entitlement_capped,scale_band,0.4444444444444444,"deterministic greedy coverage of relation, carrier, entitlement, support family, support-prevalence stratum, and sealed-candidate context",False
