failure_predicate,partition,simulator_id,q1_pass,q2_pass,q3_pass,q4_pass,q5_pass,q6_pass,q7_pass,q8_pass,q9_pass,q10_pass,q2_estimand,q4_status,q9_status,qualification_decision_enabled,qualification_status,scope_limits_json,max_standardized_object_influence,max_off_target_to_target_ratio,loo_estimable_count,loo_structural_unavailable_count,loo_simulation_failed_count,covariance_estimable_count,failed_gates_json
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable"",""structural_leave_one_object_out_unavailability""]",0.1642127741677251,1.9732629131664288,3,1,0,2,"[""Q8""]"
log_loss_attenuation,discovery,joint_wild_cluster_rademacher,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""structural_leave_one_object_out_unavailability"",""wild residual symmetry is a declared model assumption with four clusters""]",0.3264376901942319,1.9116686881330227,3,1,0,2,"[""Q8""]"
measurement_missingness_concentration,confirmation,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified"",""missingness mechanism is simulator-defined because frozen baseline is sparse or zero""]",0.5664564810417667,0.0,4,0,0,0,"[""Q2"",""Q3"",""Q5"",""Q8""]"
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,True,True,True,True,True,True,True,True,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,qualified_with_scope_limit,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable"",""missingness mechanism is simulator-defined because frozen baseline is sparse or zero""]",0.24630957198743605,0.0,4,0,0,0,[]
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,True,True,True,True,True,True,True,True,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,qualified_with_scope_limit,"[""baseline_covariance_preservation_unscorable"",""missingness mechanism is simulator-defined because frozen baseline is sparse or zero"",""wild residual symmetry is a declared model assumption with four clusters""]",0.35129727056072585,0.0,4,0,0,0,[]
measurement_missingness_concentration,discovery,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified"",""missingness mechanism is simulator-defined because frozen baseline is sparse or zero"",""structural_leave_one_object_out_unavailability""]",0.6730620722491647,0.0,3,1,0,0,"[""Q2"",""Q3"",""Q5"",""Q8""]"
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,True,True,True,True,True,True,True,True,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,qualified_with_scope_limit,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable"",""missingness mechanism is simulator-defined because frozen baseline is sparse or zero"",""structural_leave_one_object_out_unavailability""]",0.17079434572352492,0.0,3,1,0,0,[]
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,True,True,True,True,True,True,True,True,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,qualified_with_scope_limit,"[""baseline_covariance_preservation_unscorable"",""missingness mechanism is simulator-defined because frozen baseline is sparse or zero"",""structural_leave_one_object_out_unavailability"",""wild residual symmetry is a declared model assumption with four clusters""]",0.17171803644891329,0.0,3,1,0,0,[]
relation_separation_attenuation,confirmation,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified""]",1.9156537030790275,2.5679836407749703,4,0,0,1,"[""Q2"",""Q3"",""Q5"",""Q8""]"
relation_separation_attenuation,confirmation,joint_gaussian_regularized_cluster,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable""]",2.42353025001747,2.6543711966305246,4,0,0,1,"[""Q8""]"
relation_separation_attenuation,confirmation,joint_wild_cluster_rademacher,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""high_leave_one_object_out_influence"",""substantial_coupled_off_target_metric_response"",""wild residual symmetry is a declared model assumption with four clusters""]",4.571039419017612,4.330770866502387,4,0,0,1,"[""Q8""]"
relation_separation_attenuation,discovery,joint_empirical_cluster_bootstrap,True,False,False,True,False,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""four observed objects per partition; empirical cluster distribution is weakly identified"",""structural_leave_one_object_out_unavailability"",""substantial_coupled_off_target_metric_response""]",0.6524092972773333,3.1098012883682524,3,1,0,2,"[""Q2"",""Q3"",""Q5"",""Q8""]"
relation_separation_attenuation,discovery,joint_gaussian_regularized_cluster,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""Gaussian tails and covariance shrinkage are declared simulator assumptions"",""baseline_covariance_preservation_unscorable"",""structural_leave_one_object_out_unavailability""]",0.2693322939990524,1.6706796926813001,3,1,0,2,"[""Q8""]"
relation_separation_attenuation,discovery,joint_wild_cluster_rademacher,True,True,True,True,True,True,True,False,True,True,target_response_from_simulated_null,joint_construction_pass_covariance_unscorable,pass_with_structural_loo_scope_limit,True,not_qualified,"[""baseline_covariance_preservation_unscorable"",""structural_leave_one_object_out_unavailability"",""wild residual symmetry is a declared model assumption with four clusters""]",0.6636337940230044,1.3002792756341004,3,1,0,2,"[""Q8""]"
